-4 -4 -1
0 -2 0
-3 -2 0
0 -1 0
2 -1 0
0 0 0
1 0 0
0 0 0
0 0 0
-1 0 0
1 0 0
-2 0 0
-7 -1 -1
-2 -1 0
2 0 0
-1 0 0
34 1 8
0 1 6
-1 1 4
-2 0 3
-5 0 0
-1 0 0
-6 0 -1
-3 0 0
-3 0 0
-2 0 0
-6 0 -1
-7 0 -1
-4 0 -1
-7 0 -1
-7 -1 -1
-2 -1 0
0 -1 0
1 -1 0
0 -1 0
-3 -1 0
2 0 0
3 0 0
-49 -2 -12
4 -1 -8
7 -1 -5
1 -1 -3
-4 -1 -2
-2 -1 -1
0 -1 0
3 -1 0
2 -1 0
-1 -1 0
0 -1 0
29 0 7
-5 0 3
-8 -1 -1
-36 -1 -9
-11 -1 -8
-8 -2 -8
-10 -2 -8
-13 -2 -9
-7 -2 -7
21 -2 1
-10 -2 -2
-10 -2 -3
-10 -2 -3
-5 -2 -2
-5 -2 -2
-1 -2 -1
-6 -2 -1
39 -1 9
-8 -2 4
-8 -2 1
-2 -2 0
-5 -2 -1
-2 -2 0
0 -2 0
-1 -2 0
-5 -2 -1
-3 -2 0
-1 -2 0
1 -2 0
5 -1 1
4 -1 1
1 -1 0
5 -1 1
-1 -1 0
1 -1 0
2 -1 0
2 -1 0
-3 -1 0
-5 -1 -1
0 -1 0
-1 -1 0
-2 -1 0
1 -1 0
0 -1 0
4 -1 1
6 -1 1
2 -1 0
0 -1 0
2 -1 0
2 -1 0
-1 -1 0
